Date, Probe, walen, jet_detection, R_w, theta_w, x_gsm, y_gsm, z_gsm, r_spc
2015-09-02 13:39:04.097000+00:00, 3, False, True                              , 5.067, 50.619, 4.662, 4.663, 4.664, 6.595                              
2015-09-02 13:45:34.102000+00:00, 3, True, False                              , 0.863, 10.898, 4.674, 4.675, 4.676, 6.612                              
2015-09-02 15:36:14.088000+00:00, 3, False, True                              , 1.857, 72.963, 4.853, 4.854, 4.854, 6.865                              
2015-09-02 16:11:44.116000+00:00, 3, True, False                              , 1.902, 23.573, 4.894, 4.894, 4.895, 6.922                              
2015-09-02 16:48:44.145000+00:00, 3, False, True                              , 1.057, 135.692, 4.922, 4.922, 4.923, 6.962                              
2015-09-02 16:52:14.148000+00:00, 3, False, True                              , 2.603, 102.845, 4.924, 4.924, 4.924, 6.964                              
2015-09-02 17:07:04.109000+00:00, 3, False, True                              , 2.154, 61.885, 4.929, 4.930, 4.930, 6.972                              
2015-09-02 17:13:44.165000+00:00, 3, False, True                              , 1.421, 60.463, 4.931, 4.931, 4.931, 6.973                              
2015-09-02 17:18:44.169000+00:00, 3, False, True                              , 1.630, 133.779, 4.931, 4.931, 4.931, 6.974                              
2015-09-02 17:30:54.078000+00:00, 3, False, True                              , 4.021, 108.055, 4.931, 4.931, 4.931, 6.973                              
2015-09-03 13:47:54.175000+00:00, 3, False, True                              , 1.457, 118.684, 4.706, 4.707, 4.708, 6.658                              
2015-09-03 14:08:34.092000+00:00, 3, False, True                              , 5.687, 22.172, 4.742, 4.743, 4.744, 6.708                              
2015-09-03 14:13:54.196000+00:00, 3, False, True                              , 4.112, 13.424, 4.751, 4.752, 4.753, 6.721                              
2015-09-03 14:50:44.176000+00:00, 3, True, False                              , 1.781, 151.741, 4.810, 4.811, 4.812, 6.804                              
2015-09-03 15:06:04.138000+00:00, 3, True, False                              , 1.775, 22.258, 4.833, 4.834, 4.835, 6.837                              
2015-09-03 15:18:54.099000+00:00, 3, False, True                              , 4.201, 24.245, 4.852, 4.852, 4.853, 6.863                              
2015-09-03 15:27:44.206000+00:00, 3, False, True                              , 2.241, 35.195, 4.863, 4.864, 4.864, 6.879                              
2015-09-03 15:32:14.209000+00:00, 3, True, False                              , 0.906, 151.858, 4.869, 4.870, 4.870, 6.887                              
2015-09-03 16:09:34.189000+00:00, 3, True, False                              , 1.587, 155.467, 4.911, 4.911, 4.911, 6.946                              
2015-09-03 16:37:34.212000+00:00, 3, True, False                              , 0.811, 153.568, 4.932, 4.932, 4.933, 6.976                              
2015-09-03 16:46:14.119000+00:00, 3, True, False                              , 0.851, 14.007, 4.937, 4.937, 4.937, 6.982                              
2015-09-04 11:42:54.163000+00:00, 3, False, True                              , 3.489, 42.976, 4.494, 4.495, 4.496, 6.358                              
2015-09-04 13:07:04.128000+00:00, 3, False, True                              , 4.543, 128.585, 4.661, 4.662, 4.663, 6.593                              
2015-09-04 13:15:24.085000+00:00, 3, False, True                              , nan, nan, 4.676, 4.677, 4.678, 6.615                              
2015-09-04 13:25:44.193000+00:00, 3, False, True                              , 2.632, 80.252, 4.694, 4.695, 4.696, 6.640                              
2015-09-04 14:36:54.148000+00:00, 3, True, True                              , 2.398, 16.933, 4.813, 4.814, 4.815, 6.809                              
2015-09-04 23:02:24.105000+00:00, 3, True, False                              , 2.203, 25.393, 3.522, 3.517, 3.513, 4.971                              
2015-09-05 15:54:54.159000+00:00, 3, False, True                              , 1.972, 118.628, 4.934, 4.934, 4.935, 6.978                              
2015-09-06 11:09:24.174000+00:00, 3, True, False                              , 1.596, 27.978, 4.490, 4.491, 4.492, 6.352                              
2015-09-06 12:15:44.176000+00:00, 3, False, True                              , 3.261, 114.076, 4.627, 4.628, 4.628, 6.545                              
2015-09-06 12:21:54.081000+00:00, 3, False, True                              , 1.139, 86.850, 4.639, 4.640, 4.641, 6.562                              
2015-09-06 12:37:14.193000+00:00, 3, False, True                              , 2.003, 97.048, 4.666, 4.667, 4.668, 6.601                              
2015-09-06 13:00:24.111000+00:00, 3, False, True                              , 1.245, 110.066, 4.708, 4.709, 4.710, 6.660                              
2015-09-06 13:18:54.125000+00:00, 3, True, True                              , 0.700, 27.296, 4.739, 4.740, 4.741, 6.704                              
2015-09-06 13:27:44.082000+00:00, 3, False, True                              , 3.369, 77.012, 4.754, 4.754, 4.755, 6.724                              
2015-09-07 13:26:34.114000+00:00, 3, True, True                              , 1.261, 176.029, 4.780, 4.781, 4.781, 6.761                              
2015-09-07 13:36:34.122000+00:00, 3, True, False                              , 1.711, 177.643, 4.796, 4.796, 4.797, 6.784                              
2015-09-07 13:44:34.129000+00:00, 3, False, True                              , 1.339, 128.376, 4.808, 4.809, 4.810, 6.801                              
2015-09-07 13:59:34.141000+00:00, 3, False, True                              , 3.898, 72.706, 4.831, 4.832, 4.832, 6.833                              
2015-09-07 14:18:54.107000+00:00, 3, False, True                              , 0.902, 65.897, 4.859, 4.860, 4.861, 6.874                              
2015-09-07 15:16:34.204000+00:00, 3, True, False                              , 0.436, 160.849, 4.933, 4.934, 4.934, 6.978                              
2015-09-07 15:29:54.165000+00:00, 3, True, False                              , 0.616, 150.418, 4.947, 4.948, 4.948, 6.998                              
2015-09-07 17:07:34.144000+00:00, 3, True, True                              , 0.590, 163.025, 4.996, 4.995, 4.995, 7.065                              
2015-09-07 17:28:14.211000+00:00, 3, False, True                              , 1.547, 80.348, 4.989, 4.989, 4.988, 7.055                              
2015-09-07 17:56:14.084000+00:00, 3, False, True                              , nan, nan, 4.967, 4.967, 4.966, 7.024                              
